"","1st_network","Region","cluster","Hub_consensus","freq"
"251","FPN","Frontal_Mid_Orb_L_1","23","Connector",0.357132142857143
"252","FPN","Frontal_Mid_Orb_L_1","23","Isolate",1e-05
"253","FPN","Frontal_Mid_Orb_L_1","23","Peripheral",1e-05
"254","FPN","Frontal_Mid_Orb_L_1","23","Provincial",1e-05
"255","FPN","Frontal_Mid_Orb_L_1","23","Satellite",0.642837857142857
"256","FPN","Frontal_Mid_Orb_L_1","56","Connector",0.461524615384615
"257","FPN","Frontal_Mid_Orb_L_1","56","Isolate",1e-05
"258","FPN","Frontal_Mid_Orb_L_1","56","Peripheral",1e-05
"259","FPN","Frontal_Mid_Orb_L_1","56","Provincial",1e-05
"260","FPN","Frontal_Mid_Orb_L_1","56","Satellite",0.538445384615385
"261","FPN","Frontal_Mid_Orb_L_2","23","Connector",0.37498875
"262","FPN","Frontal_Mid_Orb_L_2","23","Isolate",1e-05
"263","FPN","Frontal_Mid_Orb_L_2","23","Peripheral",1e-05
"264","FPN","Frontal_Mid_Orb_L_2","23","Provincial",0.62498125
"265","FPN","Frontal_Mid_Orb_L_2","23","Satellite",1e-05
"266","FPN","Frontal_Mid_Orb_L_2","56","Connector",0.87497375
"267","FPN","Frontal_Mid_Orb_L_2","56","Isolate",1e-05
"268","FPN","Frontal_Mid_Orb_L_2","56","Peripheral",1e-05
"269","FPN","Frontal_Mid_Orb_L_2","56","Provincial",0.12499625
"270","FPN","Frontal_Mid_Orb_L_2","56","Satellite",1e-05
"271","CON","Frontal_Sup_L_1","23","Connector",0.157891578947368
"272","CON","Frontal_Sup_L_1","23","Isolate",1e-05
"273","CON","Frontal_Sup_L_1","23","Peripheral",0.526305263157895
"274","CON","Frontal_Sup_L_1","23","Provincial",1e-05
"275","CON","Frontal_Sup_L_1","23","Satellite",0.315783157894737
"276","CON","Frontal_Sup_L_1","56","Connector",1e-05
"277","CON","Frontal_Sup_L_1","56","Isolate",1e-05
"278","CON","Frontal_Sup_L_1","56","Peripheral",0.333323333333333
"279","CON","Frontal_Sup_L_1","56","Provincial",1e-05
"280","CON","Frontal_Sup_L_1","56","Satellite",0.666646666666667
"281","DMN","Frontal_Sup_L_2","23","Connector",0.238092857142857
"282","DMN","Frontal_Sup_L_2","23","Isolate",1e-05
"283","DMN","Frontal_Sup_L_2","23","Peripheral",0.0476185714285714
"284","DMN","Frontal_Sup_L_2","23","Provincial",0.190474285714286
"285","DMN","Frontal_Sup_L_2","23","Satellite",0.523804285714286
"286","DMN","Frontal_Sup_L_2","56","Connector",0.727250909090909
"287","DMN","Frontal_Sup_L_2","56","Isolate",1e-05
"288","DMN","Frontal_Sup_L_2","56","Peripheral",1e-05
"289","DMN","Frontal_Sup_L_2","56","Provincial",1e-05
"290","DMN","Frontal_Sup_L_2","56","Satellite",0.272719090909091
"291","DMN","Frontal_Sup_L_4","23","Connector",0.695638260869565
"292","DMN","Frontal_Sup_L_4","23","Isolate",1e-05
"293","DMN","Frontal_Sup_L_4","23","Peripheral",1e-05
"294","DMN","Frontal_Sup_L_4","23","Provincial",0.0434773913043478
"295","DMN","Frontal_Sup_L_4","23","Satellite",0.260864347826087
"296","DMN","Frontal_Sup_L_4","56","Connector",0.785698571428571
"297","DMN","Frontal_Sup_L_4","56","Isolate",1e-05
"298","DMN","Frontal_Sup_L_4","56","Peripheral",1e-05
"299","DMN","Frontal_Sup_L_4","56","Provincial",0.0714271428571429
"300","DMN","Frontal_Sup_L_4","56","Satellite",0.142854285714286
"301","CON","Frontal_Sup_L_6","23","Connector",1e-05
"302","CON","Frontal_Sup_L_6","23","Isolate",0.0833325
"303","CON","Frontal_Sup_L_6","23","Peripheral",0.7499925
"304","CON","Frontal_Sup_L_6","23","Provincial",0.0833325
"305","CON","Frontal_Sup_L_6","23","Satellite",0.0833325
"306","CON","Frontal_Sup_L_6","56","Connector",0.099999
"307","CON","Frontal_Sup_L_6","56","Isolate",1e-05
