"","1st_network","Region","cluster","Bridgeness","freq"
"267","SMN","Frontal_Sup_R_1","23","Not_a_Bridge",0.33333
"268","SMN","Frontal_Sup_R_1","23","Super_Bridge",0.4166625
"269","SMN","Frontal_Sup_R_1","56","Global_Bridge",0.49999
"270","SMN","Frontal_Sup_R_1","56","Local_Bridge",1e-05
"271","SMN","Frontal_Sup_R_1","56","Not_a_Bridge",0.49999
"272","SMN","Frontal_Sup_R_1","56","Super_Bridge",1e-05
"273","DMN","Frontal_Sup_R_2","23","Global_Bridge",0.333333333333333
"274","DMN","Frontal_Sup_R_2","23","Local_Bridge",0.0666666666666667
"275","DMN","Frontal_Sup_R_2","23","Not_a_Bridge",0.333333333333333
"276","DMN","Frontal_Sup_R_2","23","Super_Bridge",0.266666666666667
"277","DMN","Frontal_Sup_R_2","56","Global_Bridge",1e-05
"278","DMN","Frontal_Sup_R_2","56","Local_Bridge",0.099999
"279","DMN","Frontal_Sup_R_2","56","Not_a_Bridge",0.599994
"280","DMN","Frontal_Sup_R_2","56","Super_Bridge",0.299997
"281","DMN","Frontal_Sup_R_3","23","Global_Bridge",0.0769230769230769
"282","DMN","Frontal_Sup_R_3","23","Local_Bridge",0.0769230769230769
"283","DMN","Frontal_Sup_R_3","23","Not_a_Bridge",0.615384615384615
"284","DMN","Frontal_Sup_R_3","23","Super_Bridge",0.230769230769231
"285","DMN","Frontal_Sup_R_3","56","Global_Bridge",1e-05
"286","DMN","Frontal_Sup_R_3","56","Local_Bridge",1e-05
"287","DMN","Frontal_Sup_R_3","56","Not_a_Bridge",0.333326666666667
"288","DMN","Frontal_Sup_R_3","56","Super_Bridge",0.666653333333333
"289","DMN","Frontal_Sup_R_4","23","Global_Bridge",0.1875
"290","DMN","Frontal_Sup_R_4","23","Local_Bridge",0.1875
"291","DMN","Frontal_Sup_R_4","23","Not_a_Bridge",0.25
"292","DMN","Frontal_Sup_R_4","23","Super_Bridge",0.375
"293","DMN","Frontal_Sup_R_4","56","Global_Bridge",1e-05
"294","DMN","Frontal_Sup_R_4","56","Local_Bridge",0.099999
"295","DMN","Frontal_Sup_R_4","56","Not_a_Bridge",0.199998
"296","DMN","Frontal_Sup_R_4","56","Super_Bridge",0.699993
"297","VMM","Fusiform_L_1","23","Global_Bridge",1e-05
"298","VMM","Fusiform_L_1","23","Local_Bridge",0.499995
"299","VMM","Fusiform_L_1","23","Not_a_Bridge",0.199998
"300","VMM","Fusiform_L_1","23","Super_Bridge",0.299997
"301","VMM","Fusiform_L_1","56","Global_Bridge",0.0909090909090909
"302","VMM","Fusiform_L_1","56","Local_Bridge",0.545454545454545
"303","VMM","Fusiform_L_1","56","Not_a_Bridge",0.181818181818182
"304","VMM","Fusiform_L_1","56","Super_Bridge",0.181818181818182
"305","DAN","Fusiform_L_2","23","Global_Bridge",1e-05
